stakes,offer,accept,wealth
200,50,1,1
200,5,1,1
20,2,0,1
200,5,0,1
2000,500,1,1
200,40,0,1
2000,500,1,1
200,1,0,0
2000,500,1,1
20,16,1,1
20,2,1,1
200,50,1,1
200,20,0,1
20,5,1,1
20,5,1,1
200,20,1,1
200,10,1,0
2000,1900,1,0
2000,100,1,0
20,5,1,0
2000,120,0,0
200,60,0,0
20,5,0,0
20,2,1,0
200,20,1,0
200,1,0,0
200,5,0,0
20,5,0,0
200,5,1,0
20,3,0,0
20,5,0,0
200,50,0,0
20,2,0,0
200,10,1,1
200,150,1,1
20,5,1,1
2000,250,1,1
20,6,1,1
20,5,1,1
200,20,0,1
2000,10,0,1
200,30,1,1
200,50,1,1
20,5,0,1
200,90,1,1
20,2,1,1
2000,300,0,0
20,2,0,1
20,2,0,1
2000,50,0,1
20,5,0,1
20,1,1,1
200,20,1,0
20,5,1,1
2000,100,1,1
2000,500,1,1
20,5,0,1
2000,50,0,1
200,100,1,1
200,50,0,0
200,2,0,1
2000,50,1,1
20,5,1,1
2000,550,1,1
200,10,1,0
20,1,1,1
20,5,0,1
200,50,1,1
20,5,0,1
20,2,1,1
200,50,1,0
20,5,1,0
200,50,1,0
200,10,0,0
2000,500,1,0
200,50,0,0
20,5,1,0
2000,250,1,0
2000,100,1,0
200,50,1,0
200,50,1,0
20,5,1,0
2000,500,1,0
20,5,1,0
2000,50,0,0
200,50,0,0
20,10,1,0
200,50,1,0
200,2,1,1
200,5,0,1
2000,300,1,1
2000,200,1,1
2000,1000,1,1
2000,1000,1,1
200,10,0,1
2000,100,1,1
20,1,1,1
20,5,1,1
20,5,1,1
200,100,1,0
20,5,1,1
20,5,1,1
200,60,1,1
20,15,1,1
200,20,1,1
200,10,1,1
200,20,1,1
2000,10,1,1
200,50,1,1
2000,2,1,0
2000,500,1,1
20,15,1,1
2000,500,0,1
20,5,1,1
20,5,1,1
200,20,1,1
20,1,1,1
20,10,1,1
200,20,1,1
2000,500,1,0
2000,500,1,0
2000,400,0,0
20,5,1,0
2000,150,1,1
20,5,0,1
2000,500,1,1
200,60,1,1
20,10,1,1
20,2,1,1
200,50,0,1
2000,100,1,0
200,50,0,1
20,5,0,0
20,6,0,0
200,50,1,0
20,8,0,0
2000,250,1,0
2000,100,0,0
2000,500,1,0
200,25,0,0
200,50,1,0
200,50,0,0
20,5,0,0
20,5,1,0
2000,500,0,0
200,40,1,0
2000,200,0,0
200,50,0,0
200,10,0,1
20,8,0,1
20,5,0,1
2000,500,1,1
20,3,0,1
200,70,0,1
200,50,1,1
2000,300,1,1
2000,200,0,1
20,10,1,1
20,5,1,1
20,5,1,1
2000,500,1,1
20,5,1,1
200,30,0,1
200,50,1,1
20,5,0,1
2000,500,1,1
20,5,0,0
20,5,1,1
200,50,0,1
2000,500,1,1
200,50,1,1
20,5,1,1
200,40,1,1
200,80,1,1
20,6,1,1
200,50,0,1
2000,200,0,1
20,5,0,1
20,5,0,1
200,40,1,1
200,40,1,1
200,40,0,1
200,30,0,1
2000,50,1,1
20,10,0,1
200,20,0,1
2000,50,0,1
20,2,1,0
2000,50,1,0
2000,500,0,0
200,80,1,0
200,50,1,0
20,5,1,0
200,50,1,0
20,5,1,0
200,20,1,0
20,5,1,0
20,2,0,0
200,1,0,0
2000,50,0,0
20,5,1,0
200,50,0,0
2000,100,1,0
20,5,1,0
20,5,0,1
20,5,1,1
20,5,0,1
20,5,1,1
20,5,0,0
2000,600,0,1
20,5,1,1
2000,150,1,0
200,50,0,1
200,60,0,1
20,5,0,1
20,2,0,1
20,5,0,0
20,2,1,1
200,50,0,1
2000,50,0,1
20,5,1,1
20,8,0,1
200,20,0,1
200,40,0,1
200,50,0,1
20,5,0,1
2000,30,0,1
200,50,1,1
20,5,0,1
20,1,0,1
20,1,0,1
20,1,1,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,3,0,1
20,3,1,1
20,4,1,1
20,4,1,1
20,4,1,1
20,4,1,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,7,0,1
20,8,1,1
20,8,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,1,0,1
20,1,0,1
20,1,0,1
20,1,0,1
20,1,0,1
20,1,1,1
20,1,1,1
20,1,1,1
20,1,1,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,3,0,1
20,3,0,1
20,3,0,1
20,3,1,1
20,3,1,1
20,4,0,1
20,4,1,1
20,4,1,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,7,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,15,0,1
20,19,1,1
200,10,0,0
200,10,0,0
200,10,1,0
200,10,1,0
200,20,0,0
200,20,1,0
200,20,1,0
200,20,1,0
200,20,1,0
200,20,1,0
200,30,0,0
200,30,1,0
200,30,1,0
200,30,1,0
200,40,1,0
200,40,1,0
200,50,1,0
200,50,1,0
200,10,0,1
200,10,0,1
200,10,0,1
200,10,1,1
200,20,0,1
200,20,0,1
200,20,0,1
200,20,0,1
200,20,0,1
200,20,0,1
200,20,1,1
200,20,1,1
200,20,1,1
200,30,0,1
200,30,0,1
200,30,1,1
200,30,1,1
200,40,1,1
200,40,1,1
200,50,0,1
200,50,1,1
200,50,1,1
200,50,1,1
2000,100,1,0
2000,100,1,0
2000,100,1,0
2000,100,1,0
2000,100,1,0
