totrev,shifts,high,block2,block3
3090.8999,13,0,0,0
1210,5,1,1,0
782,3,0,0,1
2308.5,8,0,0,0
2148,6,1,1,0
1936.5,6,0,0,1
3552.5,9,0,0,0
1889,4,0,1,0
1883,5,1,0,1
930.40002,4,1,1,0
0,0,0,0,1
1519.5,5,0,0,0
3874.5,11,1,1,0
4301.3999,12,0,0,1
5717.3999,18,0,0,0
0,0,0,1,0
1616,5,1,0,1
2440,7,0,0,0
0,0,0,1,0
2322,6,1,0,1
5175.5,15,0,0,0
4793.2002,15,0,1,0
6850.7998,22,1,0,1
2600.5,8,0,0,0
2666.8999,8,0,1,0
2467.5,8,1,0,1
1778.5,6,0,0,0
2641.5,9,1,1,0
543,2,0,0,1
2404,9,0,0,0
2782,8,0,1,0
3879,11,1,0,1
5352.5,16,0,0,0
6080.2998,18,0,1,0
1627,5,1,0,1
1127.5,3,0,0,0
1735,5,0,1,0
678,3,1,0,1
191,1,0,0,0
7097.7998,25,1,1,0
6660.8999,19,0,0,1
4967.5,16,0,0,0
4894.1001,17,0,1,0
5212,18,1,0,1
939.5,4,0,0,0
4412.8999,15,0,1,0
5008,15,1,0,1
2022.9,8,0,0,0
1639.5,7,1,1,0
1604,6,0,0,1
279.5,1,0,0,0
3696.3999,12,1,1,0
656.5,2,0,0,1
1295.6,5,0,0,0
4302.8999,15,0,1,0
4157,17,1,0,1
314,1,0,0,0
1409,5,0,1,0
1146,4,1,0,1
1160.5,3,0,0,0
2344.1001,9,1,1,0
0,0,0,0,1
3255.5,11,0,0,0
4504.5,15,1,1,0
3842.5,12,0,0,1
11516.2,29,0,0,0
12487.8,30,1,1,0
8400,22,0,0,1
2709.5,11,0,0,0
1168.5,6,1,1,0
1012.9,4,0,0,1
4097,12,0,0,0
3835.1001,11,0,1,0
3315.5,10,1,0,1
3733.5,12,0,0,0
4439.2998,14,1,1,0
3492,11,0,0,1
4080.3999,16,0,0,0
4105.7998,17,1,1,0
2407.5,9,0,0,1
6905.5,20,0,0,0
4510.5,14,1,1,0
5481,15,0,0,1
2088,7,0,0,0
2610,8,0,1,0
1950.5,8,1,0,1
4219.2002,16,0,0,0
2573,8,1,1,0
0,0,0,0,1
3387.5,16,0,0,0
4304,17,1,1,0
524,3,0,0,1
8668.4004,29,0,0,0
7965.5,26,0,1,0
8221,28,1,0,1
4902,16,0,0,0
8811.7998,27,1,1,0
7236,25,0,0,1
6965.5,27,0,0,0
3598.5,13,0,1,0
7353.7998,26,1,0,1
7209.5,23,0,0,0
5717.5,21,1,1,0
2455,9,0,0,1
1418.5,7,0,0,0
2195,8,0,1,0
4398.2002,18,1,0,1
5679.3999,26,0,0,0
4688.8999,18,1,1,0
0,0,0,0,1
3341.5,13,0,0,0
4075,15,1,1,0
5081,16,0,0,1
1221,8,0,0,0
3171.5,14,0,1,0
4750,19,1,0,1
223,1,0,0,0
3920.5,18,1,1,0
3732.5,16,0,0,1
1576,7,0,0,0
1660,6,0,1,0
3841,12,1,0,1
114,1,0,1,0
2835,11,1,0,1
