subjectID,period,wage,effort
1,1,9,7
1,2,8,7
1,3,8,0
2,1,5,2
2,2,5,3
3,2,1,2
3,3,4,2
4,1,5,8
4,2,4,3
4,3,6,2
5,1,5,5
5,2,9,5
5,3,9,7
6,1,6,5
6,2,1,2
6,3,7,3
7,1,8,0
7,2,3,0
7,3,1,0
8,1,6,0
9,1,3,4
9,2,4,1
9,3,2,0
10,1,4,4
10,2,3,1
10,3,2,2
11,1,6,4
11,2,5,4
11,3,5,2
12,1,4,2
12,2,7,6
12,3,5,4
13,1,4,3
13,2,5,4
13,3,4,2
14,1,4,6
14,2,5,4
14,3,6,3
15,1,5,5
15,2,5,6
15,3,6,5
16,1,2,2
16,2,7,5
16,3,8,4
17,1,4,4
17,2,5,0
17,3,2,2
18,1,3,3
18,2,5,3
18,3,1,2
19,2,3,0
20,1,9,1
20,2,2,0
20,3,0,0
21,1,4,5
21,2,5,0
21,3,3,2
22,1,5,3
22,2,5,4
22,3,5,0
23,1,4,3
23,2,5,4
23,3,6,4
24,1,3,2
24,2,1,1
24,3,4,2
25,1,2,2
25,2,3,2
25,3,3,1
26,1,2,2
26,2,9,4
26,3,1,1
27,1,4,3
27,2,6,6
27,3,6,3
28,1,7,6
28,2,7,2
28,3,7,5
29,1,4,1
29,2,4,4
29,3,5,2
30,1,5,6
30,2,2,2
30,3,5,4
