playerType,propReturnB,propSendA,age,defMax,volSav,dropG
B,0,,48,0,12,0
B,0.333333343,,30,0,361,0
B,0.5,,51,3,1,0
B,0,,20,0,404,0
B,0.166666672,,28,14.5,115,0
B,0.5,,37,91.75,13,1
B,0.5,,48,0,48,0
B,0.5,,32,3.700000048,275,0
B,0,,37,0,52,0
B,0.25,,40,0,18,0
B,0.5,,46,0,94,0
B,0.666666687,,27,0,9,1
B,1,,27,0,10,0
B,1,,44,0,58,0
B,1,,50,0,22,0
B,1,,27,0,101,0
B,0,,40,0,174,0
B,0.5,,42,0,580,0
B,0.5,,32,250,15,0
B,0.5,,25,224.4299927,3,1
B,0.5,,30,0,178,0
B,0.5,,37,105,84,0
B,0.5,,43,0,87,0
B,0.5,,55,0,18,0
B,0.5,,47,0,185,0
B,1,,42,0,105,0
B,0,,22,0,51,0
B,0,,43,0,26,0
B,0.5,,69,0,146,0
B,0.5,,49,168.25,21,1
B,0.5,,38,0,1,0
B,0.5,,33,0,1,1
B,0.75,,60,0,3,0
B,1,,49,0,52,0
B,0,,46,426.5,27,1
B,0,,21,29.54999924,57,1
B,0.5,,42,0,250,0
B,0.5,,47,726.3200073,8,1
B,0.5,,20,179.6999969,14,1
B,0.5,,28,0,181,0
B,0.5,,48,0,33,0
B,0.5,,59,0,73,0
B,1,,25,153,0,0
B,1,,53,286,5,0
B,0,,34,0,41,0
B,0,,37,0,8,0
B,0.166666672,,52,194.5,97,1
B,0.166666672,,0,249.5,0,1
B,0.25,,0,43.43999863,0,1
B,0.5,,0,0,3,0
B,0.5,,33,0,21,0
B,0.5,,60,177.5,16,1
B,0.5,,27,0,142,0
B,0.5,,25,0,92,0
B,0.5,,30,0,0,0
B,0.5,,33,171.5700073,1,0
B,0.75,,29,0,4,0
B,0.25,,49,0,212,0
B,0.333333343,,40,1054,0,1
B,0.333333343,,34,7.320000172,81,1
B,0.333333343,,31,0,0,0
B,0.333333343,,58,0,9,0
B,0.5,,52,0,101,0
B,0.5,,19,0,65,0
B,0.666666687,,37,0,768,1
B,0.833333313,,30,0,11,0
B,1,,36,0,74,0
B,0,,35,0,29,0
B,0.166666672,,29,0,654,0
B,0.333333343,,17,225.9100037,20,1
B,0.333333343,,39,0,3,0
B,0.5,,23,0,278,0
B,1,,49,0,72,0
B,1,,31,0,12,0
B,0,,40,0,12,0
B,0.166666672,,51,0,68,0
B,0.166666672,,25,618,13,1
B,0.333333343,,44,0,4,0
B,0.5,,44,0,4,0
B,0.5,,42,0,109,0
B,0.666666687,,35,0,73,0
B,1,,61,0,146,0
B,1,,47,0,39,0
B,0,,32,0,33,0
B,0.333333343,,52,0,483.6199951,0
B,0.5,,27,0,14,0
B,0.5,,35,0,402,0
B,0.5,,80,0,8,0
B,0.5,,24,0,50,0
B,0.5,,22,61.63999939,0,0
B,0.666666687,,38,0,2,0
B,0,,21,0,24,0
B,0,,25,0,5,0
B,0,,19,0,97,0
B,0,,26,0,11,0
B,0,,20,176.6100006,22,1
B,0,,23,0,12,0
B,0,,55,0,117,0
B,0.5,,42,0,96,0
B,0.5,,42,0,100,0
B,0.5,,27,0,45,0
B,0.5,,39,0,0,0
B,0.5,,25,0,36,0
B,0.5,,32,0,50,1
B,0.333333343,,43,236,22,0
B,0.5,,27,75.62000275,0,1
B,0.5,,36,0,60,0
B,0.5,,37,0,11,1
B,0.5,,32,0,66,0
B,0.5,,52,0,133,0
B,0.666666687,,35,58.25,0,1
B,0.666666687,,31,0,106,0
B,0.75,,25,0,24,0
B,1,,30,0,20,0
B,0,,47,0,7,0
B,0,,50,0,22,0
B,0.333333343,,41,0,86,0
B,0.5,,55,0,15,0
B,0.5,,26,0,327,0
B,0.5,,53,0,173,0
B,0.5,,31,0,208,0
B,1,,39,0,197,0
B,1,,48,0,5,0
B,1,,38,0,111,0
B,0.5,,48,48.24000168,0,0
B,0.5,,32,89.62999725,3,1
B,0.5,,38,0,12,0
B,0.5,,54,0,220,0
B,0.75,,39,0,272,0
B,1,,31,0,21,0
B,0,,23,0,1,0
B,0.25,,63,0,120,0
B,0.5,,38,62.00999832,5,1
B,0.5,,23,74,4,1
B,0.75,,29,0,74,0
B,1,,18,0,100,0
B,0,,34,490.25,21,0
B,0,,25,0,0,0
B,0,,22,3.619999886,101,0
B,0.333333343,,42,0,490,0
B,0.5,,36,132,5,0
B,0.5,,43,0,426,0
B,0.5,,39,0,54.31000137,0
B,0.5,,18,87.5,35,1
B,0.5,,46,206,16,0
B,1,,39,0,364,0
B,0,,43,0,43,0
B,0.333333343,,41,0,9,0
B,0.5,,21,0,21,0
B,0.5,,62,0,338,0
B,0.5,,35,0,673,0
B,0.75,,51,0,1,0
B,0.833333313,,32,0,167,0
B,1,,61,0,156,0
B,0,,30,28.25,8,0
B,0.25,,16,0,3,1
B,0.25,,27,0,135.3800049,1
B,0.25,,39,52,36,0
B,0.333333343,,43,159.4400024,0,1
B,0.5,,45,126,0.379999995,0
B,0.5,,30,0,4.380000114,0
B,0.5,,46,106,5,1
B,0.5,,23,0,0,0
B,0.5,,37,0,25,0
B,0.25,,28,0,30,0
B,0.25,,41,100,55.25,0
B,0.333333343,,26,0,6,0
B,0.5,,39,30,68,0
B,0.5,,39,130.5200043,11,1
B,0.75,,44,10.85999966,0,1
B,0,,27,318.8800049,16,1
B,0.333333343,,42,235,1,0
B,0.333333343,,28,0,84,0
B,0.333333343,,28,146.5,4,0
B,0.5,,34,0,22,0
B,0.5,,45,0,65,1
B,0.5,,29,0,207,0
B,0.5,,29,0,40,0
B,0.75,,63,52,7,0
B,0.166666672,,34,12,0,0
B,0.333333343,,41,0,98,0
B,0.333333343,,38,0,29,0
B,0.5,,38,0,63,0
B,0.5,,24,569.2700195,0,1
B,0.5,,31,174,30.5,1
B,1,,51,0,713,0
B,0.333333343,,33,147,8,0
B,0.5,,22,0,1,0
B,0.5,,30,62,6,1
B,1,,48,21.79999924,10,0
B,0,,30,103,0,1
B,0,,32,155.7400055,13,1
B,0,,39,1083.5,36.65999985,1
B,0.333333343,,29,134,40,1
B,0.5,,45,0,16,0
B,0.5,,56,0,4,0
B,0.5,,30,0,5,1
B,0.333333343,,30,0,37,0
B,0.333333343,,22,207,136,1
B,0.5,,32,124.75,11,0
B,0.5,,32,0,0,0
B,0.5,,33,38.90999985,3,1
B,0.5,,55,0,715,0
B,0.5,,58,0,2,0
B,0.5,,19,0,23,1
B,0.666666687,,35,0,244,0
B,0.75,,39,0,123,0
B,0.833333313,,43,0,10,0
B,0.833333313,,33,0,448,0
B,0.25,,32,0,320,0
B,0.5,,26,107.5,12,0
B,0.5,,42,0,44,0
B,0.5,,19,110.7699966,9,0
B,0.5,,20,91,3,1
B,0.5,,40,62,35,0
B,0.5,,27,0,43,0
B,1,,27,182.5,0,0
B,0,,32,0,9,0
B,0.5,,28,53.15999985,0,1
B,0.5,,25,83.75,0,0
B,0.5,,30,0,177,0
B,0.5,,24,0,124,0
B,0.5,,49,0,62,0
B,0.5,,31,0,23,0
B,1,,49,0,6,0
B,0,,33,197.0099945,0,0
B,0,,29,0,38,0
B,0,,43,0,21,0
B,0.25,,28,0,0,0
B,0.5,,18,0,0,1
B,0,,43,86.5,6,1
B,0,,21,45.47999954,0,0
B,0,,39,82.12000275,24,1
B,0.166666672,,36,0,52,0
B,0.5,,40,45.47999954,1,0
B,0.5,,34,89.25,30,0
B,0.666666687,,20,0,0,0
B,0,,31,0,1,1
B,0,,29,139.2200012,22,1
B,0.333333343,,36,0,13,0
